,base_name,label,x,y,r,complete
0,VID_20220217_112402_F0.png,baya,748,335,24.42949,True
2,VID_20220217_112402_F0.png,keypoint,587,577,NULL,False
3,VID_20220217_112402_F0.png,keypoint,890,636,NULL,False
4,VID_20220217_112402_F0.png,baya,599,242,13.46143,True
6,VID_20220217_112402_F0.png,baya,852,416,24.50979,True
8,VID_20220217_112402_F0.png,baya,813,349,21.70023,True
10,VID_20220217_112402_F0.png,baya,780,369,25.27153,True
13,VID_20220217_112402_F0.png,val_1,358,172,NULL,False
14,VID_20220217_112402_F0.png,val_2,387,172,NULL,False
17,VID_20220217_112402_F0.png,keypoint,921,511,NULL,False
18,VID_20220217_112402_F0.png,val_1,301,173,NULL,False
20,VID_20220217_112402_F0.png,baya,669,378,13.86542,True
22,VID_20220217_112402_F0.png,baya,668,476,20.10995,True
24,VID_20220217_112402_F0.png,baya,822,388,20.08308,True
26,VID_20220217_112402_F0.png,baya,536,407,21.91461,True
29,VID_20220217_112402_F0.png,cal_1,615,168,NULL,False
33,VID_20220217_112402_F0.png,cal_2,672,167,NULL,False
34,VID_20220217_112402_F0.png,baya,705,284,23.24328,True
36,VID_20220217_112402_F0.png,baya,830,321,25.10777,True
38,VID_20220217_112402_F0.png,baya,886,399,22.6073,True
40,VID_20220217_112402_F0.png,baya,740,294,26.5198,True
42,VID_20220217_112402_F0.png,baya,547,337,19.6596,True
45,VID_20220217_112402_F0.png,baya,717,454,24.66759,True
47,VID_20220217_112402_F0.png,baya,587,403,17.15925,True
49,VID_20220217_112402_F0.png,baya,628,352,21.77453,True
51,VID_20220217_112402_F0.png,baya,908,331,23.65798,True
53,VID_20220217_112402_F0.png,baya,739,374,11.28688,True
55,VID_20220217_112402_F0.png,baya,808,427,24.02603,True
57,VID_20220217_112402_F0.png,baya,650,296,24.36801,True
59,VID_20220217_112402_F0.png,baya,696,316,23.83212,True
61,VID_20220217_112402_F0.png,baya,589,308,20.45336,True
64,VID_20220217_112402_F0.png,val_2,444,171,NULL,False
65,VID_20220217_112402_F0.png,baya,636,375,24.03518,True
67,VID_20220217_112402_F0.png,baya,709,362,23.05407,True
69,VID_20220217_112402_F0.png,baya,777,282,22.9,True
71,VID_20220217_112402_F0.png,baya,783,325,22.30874,True
73,VID_20220217_112402_F0.png,baya,753,415,24.32879,True
75,VID_20220217_112402_F0.png,keypoint,445,641,NULL,False
76,VID_20220217_112402_F0.png,baya,851,363,24.41311,True
78,VID_20220217_112402_F0.png,baya,864,322,23.30021,True
80,VID_20220217_112402_F0.png,baya,637,418,21.73684,True
82,VID_20220217_112402_F0.png,baya,557,355,12.62458,True
84,VID_20220217_112402_F0.png,baya,917,368,20.9571,True
86,VID_20220217_112402_F0.png,baya,744,269,17.85497,True
0,VID_20220217_112339_F0.png,baya,614,284,26.4849,True
2,VID_20220217_112339_F0.png,baya,844,306,26.07393,True
4,VID_20220217_112339_F0.png,baya,786,421,26.0,True
6,VID_20220217_112339_F0.png,baya,873,345,25.2127,True
8,VID_20220217_112339_F0.png,baya,834,423,27.50873,True
11,VID_20220217_112339_F0.png,val_1,306,163,NULL,False
13,VID_20220217_112339_F0.png,keypoint,600,593,NULL,False
14,VID_20220217_112339_F0.png,baya,578,308,26.66027,True
17,VID_20220217_112339_F0.png,cal_2,694,154,NULL,False
18,VID_20220217_112339_F0.png,baya,688,436,26.23833,True
22,VID_20220217_112339_F0.png,val_2,454,160,NULL,False
23,VID_20220217_112339_F0.png,baya,561,344,23.52743,True
25,VID_20220217_112339_F0.png,keypoint,956,528,NULL,False
26,VID_20220217_112339_F0.png,baya,859,448,25.84982,True
28,VID_20220217_112339_F0.png,val_2,395,161,NULL,False
30,VID_20220217_112339_F0.png,baya,760,374,27.21213,True
32,VID_20220217_112339_F0.png,baya,724,391,30.07341,True
35,VID_20220217_112339_F0.png,val_1,365,162,NULL,False
36,VID_20220217_112339_F0.png,baya,892,348,23.94081,True
38,VID_20220217_112339_F0.png,keypoint,456,651,NULL,False
39,VID_20220217_112339_F0.png,baya,731,280,24.78144,True
41,VID_20220217_112339_F0.png,baya,727,335,27.67255,True
43,VID_20220217_112339_F0.png,baya,810,357,26.54807,True
45,VID_20220217_112339_F0.png,baya,910,391,23.46167,True
47,VID_20220217_112339_F0.png,baya,676,368,27.54959,True
49,VID_20220217_112339_F0.png,baya,662,284,27.19357,True
51,VID_20220217_112339_F0.png,keypoint,918,665,NULL,False
52,VID_20220217_112339_F0.png,baya,938,428,23.60085,True
54,VID_20220217_112339_F0.png,baya,686,325,31.17002,True
57,VID_20220217_112339_F0.png,baya,768,284,27.23061,True
59,VID_20220217_112339_F0.png,cal_1,633,155,NULL,False
61,VID_20220217_112339_F0.png,baya,784,313,26.319,True
64,VID_20220217_112339_F0.png,baya,881,377,24.24046,True
1,VID_20220217_112310_F0.png,cal_2,541,172,NULL,False
2,VID_20220217_112310_F0.png,baya,604,516,23.27823,True
4,VID_20220217_112310_F0.png,val_1,315,163,NULL,False
6,VID_20220217_112310_F0.png,baya,940,313,27.45455,True
8,VID_20220217_112310_F0.png,baya,938,389,26.72314,True
10,VID_20220217_112310_F0.png,baya,877,399,27.49129,True
12,VID_20220217_112310_F0.png,baya,892,319,23.90233,True
14,VID_20220217_112310_F0.png,baya,931,360,27.29288,True
16,VID_20220217_112310_F0.png,baya,645,447,24.34952,True
18,VID_20220217_112310_F0.png,baya,802,351,27.48236,True
20,VID_20220217_112310_F0.png,baya,650,278,26.16621,True
23,VID_20220217_112310_F0.png,val_2,456,169,NULL,False
24,VID_20220217_112310_F0.png,baya,939,286,26.87423,True
26,VID_20220217_112310_F0.png,baya,683,241,27.37818,True
28,VID_20220217_112310_F0.png,baya,581,472,24.15854,True
30,VID_20220217_112310_F0.png,baya,987,367,26.5602,True
32,VID_20220217_112310_F0.png,baya,658,362,26.16987,True
34,VID_20220217_112310_F0.png,baya,694,361,26.31158,True
36,VID_20220217_112310_F0.png,baya,841,322,29.96681,True
39,VID_20220217_112310_F0.png,val_1,371,165,NULL,False
40,VID_20220217_112310_F0.png,baya,661,519,23.36193,True
42,VID_20220217_112310_F0.png,baya,984,322,27.09899,True
44,VID_20220217_112310_F0.png,baya,556,385,23.54151,True
46,VID_20220217_112310_F0.png,baya,978,298,22.06383,True
48,VID_20220217_112310_F0.png,baya,713,265,26.11033,True
50,VID_20220217_112310_F0.png,baya,827,379,27.81596,True
52,VID_20220217_112310_F0.png,baya,839,432,27.36329,True
54,VID_20220217_112310_F0.png,baya,618,489,23.99101,True
56,VID_20220217_112310_F0.png,baya,763,253,28.17912,True
58,VID_20220217_112310_F0.png,baya,873,354,26.10111,True
60,VID_20220217_112310_F0.png,baya,677,408,26.44431,True
62,VID_20220217_112310_F0.png,val_2,399,166,NULL,False
64,VID_20220217_112310_F0.png,baya,597,423,26.01622,True
66,VID_20220217_112310_F0.png,cal_1,485,170,NULL,False
68,VID_20220217_112310_F0.png,baya,872,284,24.7422,True
70,VID_20220217_112310_F0.png,baya,713,211,24.76525,True
72,VID_20220217_112310_F0.png,baya,805,291,26.13262,True
74,VID_20220217_112310_F0.png,baya,599,373,25.71327,True
76,VID_20220217_112310_F0.png,baya,777,313,26.8185,True
78,VID_20220217_112310_F0.png,baya,686,315,26.66333,True
80,VID_20220217_112310_F0.png,baya,716,442,28.17288,True
82,VID_20220217_112310_F0.png,baya,738,393,26.99468,True
1,VID_20220217_112247_F0.png,keypoint,552,566,NULL,False
3,VID_20220217_112247_F0.png,val_2,435,171,NULL,False
4,VID_20220217_112247_F0.png,cal_1,600,173,NULL,False
6,VID_20220217_112247_F0.png,val_1,297,168,NULL,False
8,VID_20220217_112247_F0.png,keypoint,416,623,NULL,False
9,VID_20220217_112247_F0.png,baya,967,385,20.10696,True
11,VID_20220217_112247_F0.png,baya,804,314,19.93314,True
13,VID_20220217_112247_F0.png,baya,817,385,19.54329,True
15,VID_20220217_112247_F0.png,baya,894,349,17.83928,True
17,VID_20220217_112247_F0.png,baya,636,224,19.88291,True
19,VID_20220217_112247_F0.png,baya,876,384,22.01931,True
21,VID_20220217_112247_F0.png,baya,768,361,23.51276,True
23,VID_20220217_112247_F0.png,baya,738,298,20.63032,True
25,VID_20220217_112247_F0.png,baya,690,272,18.99316,True
27,VID_20220217_112247_F0.png,baya,582,393,20.19208,True
29,VID_20220217_112247_F0.png,baya,791,336,19.42807,True
31,VID_20220217_112247_F0.png,baya,825,349,21.93468,True
33,VID_20220217_112247_F0.png,baya,629,265,20.45532,True
35,VID_20220217_112247_F0.png,baya,860,352,21.57962,True
37,VID_20220217_112247_F0.png,baya,682,228,18.06931,True
39,VID_20220217_112247_F0.png,baya,682,319,20.5117,True
41,VID_20220217_112247_F0.png,baya,694,355,16.82676,True
43,VID_20220217_112247_F0.png,baya,938,398,20.79351,True
45,VID_20220217_112247_F0.png,baya,841,455,22.88449,True
